title,studio,domestic_gross,foreign_gross,year,combined_gross
Avengers: Age of Ultron,BV,459000000.0,946400000.0,2015,1405400000.0
Black Panther,BV,700100000.0,646900000.0,2018,1347000000.0
Star Wars: The Last Jedi,BV,620200000.0,712400000.0,2017,1332600000.0
Jurassic World: Fallen Kingdom,Uni.,417700000.0,891800000.0,2018,1309500000.0
Beauty and the Beast (2017),BV,504000000.0,759500000.0,2017,1263500000.0
Incredibles 2,BV,608600000.0,634200000.0,2018,1242800000.0
Minions,Uni.,336000000.0,823400000.0,2015,1159400000.0
Captain America: Civil War,BV,408100000.0,745200000.0,2016,1153300000.0
Aquaman,WB,335100000.0,812700000.0,2018,1147800000.0
Transformers: Age of Extinction,Par.,245400000.0,858600000.0,2014,1104000000.0
